utterance_id	From	To	File	Id	String id	Year of birth	Sex	Education	Place of birth	Place of living	Left Context	DMatch	Right Context
24	108453	114376	2019_zhanvil_pds1932_4_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну, вы = из	дому	выносят, кто ямку роет, и те (тэя) выносят.
39	175700	180982	2019_zhanvil_pds1932_4_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну тогда (тады) ж при = к	вечеру	ж её, надо надеть и всё, гроб если готовый.
132	553567	558426	2019_zhanvil_pds1932_4_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну ва = ну копали	могилочку	, как (як) чей - то где - то, вон там (тама), в Рудне?
194	868946	872511	2019_zhanvil_pds1932_4_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Как (як), этот (этый), как (як) опустишь гроб туда (туды), и по	гробу	,
319	59180	63480	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну, ну она (ина) ну но =, может,	ночьу	, ну дочка тутай её.
359	251376	254208	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	тебя дети там (тама), в сундуке (	сундуку	) там таблетки,
361	259800	262733	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну,	деду	давали, это уже (ужо),
364	269888	273406	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну она (ина) сказала, что, Анька, прибери там таблетка в сундуке (	сундуку	).
395	417962	422109	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Мой брат помирал, я, уже померши, привезли они (яны) его	двору	.
399	429646	435132	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Они (яны) уже (ужо), я при = приехала, ну уже ляжи =, ну собрались уже, в	гробу	лежит.
423	527388	532315	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	и сразу ж отживилось, малец, [свалили], ну, уже (	ужу	),
555	1088464	1091453	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну	парню	, парню только ж, ну шапку надо.
555	1088464	1091453	2019_zhanvil_pds1932_4_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну парню,	парню	только ж, ну шапку надо.
568	0	2918	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Приехала в семьдесят пятом	году	, ничего не знаю особенно.
570	8053	12072	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Она, вы знаете, вы, наверное, там были в прошлом	году	, ту, ту сторону.
640	287699	292502	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Так как бы про Стайки эти. Ну приехали и приехали, слава	Богу	, нас направили по направлению,
640	287699	292502	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Так как бы про Стайки эти. Ну приехали и приехали, слава Богу, нас направили по	направлению	,
706	576872	580017	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	у нас на огороде, вот мы поремся, там по	хозяйству	, всё,
719	627528	631104	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Нет, нет, нет, там, там на	верху	такая звёздочка, но это не...
742	720923	725935	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Это ж... Тоже... По	соседству	не хочется скандалить, или что - то, и соседи хорошие.
785	884191	890981	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	То внук часто, ну это, начинает, так я думаю, может, я ему на = куда - нибудь положу, на эту самую, пришью (	пришию	).
881	1290153	1295771	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	мы им там и носки, ну что необходимо	человеку	сюда, или когда вот похороны, обязательно.
903	1386778	1390373	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки		дому	этому, наверное, может быть, семьдесят лет, и тот стол стоял.
923	1458000	1461720	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	И нам дали этот сразу дом, когда мы переехали в семьдесят пятом	году	,
935	1502624	1505484	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	Это он умер у меня в каком	году	, в девяносто втором
936	1505881	1510079	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки		году	, вот мы где - то в девяносто четвёртом уже в собственности у нас этот дом.
943	1536852	1541403	2019_stajki_nnm1955_1		nnm1955	1955	f	техникум	Микшино	Стайки	наверное так, где - то в девяносто восьмом	году	, они на той улице все живут.
1067	522865	531255	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Да, да чёрным кверху, я два разы шагнула, и, ой - ой - ой, и прямо на	мосту	, и всё. Ну, и родился.
1069	540538	544071	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Прямо на	мосту	. Матка с бабой, матка и баба.
1098	697160	704860	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ещё нас, было, надо было ж этот (этый),	бульбу	носить.
1099	705200	709778	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Прися =, я присяду,	бульбу	ж раньше давали.
1106	739515	742510	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Меня положили, дргуая была в другом	боку	.
1159	963820	966458	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Один, один из семидесятого	году	.
1172	1026646	1031324	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Из тридцать девятого	году	Наташка сестра моя, ну, тогда (тады) на Наташку.
1177	1045756	1046715	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	По	календарю	.
1201	1174600	1177120	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Это до, до	году	нельзя.
1203	1182272	1184764	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	А до, до	году	дитёнка не стригут.
1209	1202464	1205815	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Да, даже до	году	дитёнка нельзя туда (туды)
1214	1229913	1233797	2019_zhanvil_pds1932_2_4		pds1932	1932	f	4 класса	Шипы	Жанвиль	Не знаю, ну, до	году	, говорят, не стригут детей.
